Sub_ID,Study_ID,Lang_Group,Dom_Lang,Age_Days,Age_Months,Sex,Mat_Edu_Years,Lang_Exp_Eng,Lang_Exp_Fr,Lang_Exp_Other,Other_Lang,Eng_CDI_Filled_By,Fr_CDI_Filled_By,Visit_Num,TotalNW_Eng,TotalNW_Fr,Total_Vocabulary,Total_Conceptual_Vocabulary,Total_Number_TEs,Prop_TEs
1091,S78,Bilingual,English,1019,33,F,16,71.15,28.85,0,NA,Mother_and_Father,Mother_and_Father,1,494,238,732,519,213,0.581967213
1092,S80,Bilingual,French,1003,32,M,16,47.7,52.3,0,NA,Mother,Mother,1,465,143,608,487,121,0.398026316
1093,S81,Bilingual,English,927,30,M,16,66,34,0,NA,Mother,Mother,2,385,94,479,393,86,0.35908142
1094,S82,Bilingual,French,1000,32,M,16,47,53,0,NA,Mother,Mother,1,546,469,1015,611,404,0.796059113
1095,S14,Bilingual,French,650,21,F,13,39,61,0,NA,Mother,Mother,1,59,203,262,215,47,0.358778626
1096,S83,Bilingual,English,604,19,M,16,66,34,0,NA,Mother,Mother,1,50,29,79,62,17,0.430379747
1096,S84,Bilingual,English,927,30,M,16,72,28,0,NA,Mother,Mother,2,484,77,561,489,72,0.256684492
1097,S152,Bilingual,English,912,29,F,18,58,42,0,NA,Mother,Mother,1,129,100,229,170,59,0.515283843
1098,S85,Bilingual,English,608,19,F,16,57,43,0,NA,Mother,Mother,1,454,236,690,477,213,0.617391304
1098,S86,Bilingual,French,909,29,F,16,42,58,0,NA,Mother,Mother,2,631,208,839,637,202,0.481525626
1099,S15,Bilingual,French,979,32,F,13,45,55,0,NA,Mother_and_Father,Mother_and_Father,1,109,402,511,409,102,0.399217221
1100,S87,Bilingual,French,663,21,M,16,49.86,50.14,0,NA,Mother,Mother,1,16,9,25,19,6,0.48
1101,S88,Bilingual,English,913,30,F,16,66.89,33.11,0,NA,Mother,Mother,1,509,105,614,512,102,0.332247557
1102,S153,Bilingual,French,931,30,M,18,34,66,0,NA,Mother,Mother,1,272,244,516,334,182,0.705426357
1103,S89,Bilingual,French,944,31,M,16,47.91,52.09,0,NA,Mother,Mother,1,466,498,964,571,393,0.815352697
1104,S17,Bilingual,English,1005,33,F,13,74,26,0,NA,Mother,Mother,1,485,141,626,489,137,0.437699681
1105,S90,Bilingual,French,1010,33,F,16,26,74,0,NA,Mother,Mother,1,109,501,610,508,102,0.33442623
1106,S09,Bilingual,English,988,32,M,12,63,37,0,NA,Mother,Mother,1,652,305,957,676,281,0.587251829
1107,S91,Bilingual,French,911,29,M,16,49.16,50.85,0,NA,Mother,Mother,1,657,414,1071,695,376,0.702147526
1108,S190,Bilingual,English,995,32,F,12,62,39,0,NA,NA,NA,1,392,311,703,450,253,0.719772404
1109,S92,Bilingual,French,979,32,M,16,48,53,0,NA,Mother,Mother,1,225,211,436,298,138,0.633027523
1110,S94,Bilingual,French,970,31,F,16,40,60,0,NA,Mother,Mother,2,93,266,359,286,73,0.406685237
1110,S192,Bilingual,French,621,20,F,18,42.56,57.44,0,NA,Mother,Mother,1,52,89,141,105,36,0.510638298
1111,S154,Bilingual,English,623,20,F,18,67,33,0,NA,Mother,Mother,1,38,37,75,55,20,0.533333333
1112,S155,Bilingual,French,617,20,F,18,43,57,0,NA,Mother,Mother,1,136,177,313,235,78,0.498402556
1113,S95,Bilingual,English,979,32,F,16,69,31,0,NA,Mother,Mother,1,540,19,559,542,17,0.060822898
1114,S18,Bilingual,English,963,31,F,13,56,44,0,NA,Mother,Mother,1,392,250,642,437,205,0.638629283
1115,S96,Bilingual,English,1007,33,M,16,62.5,37.5,0,NA,NA,NA,1,556,109,665,566,99,0.297744361
1116,S128,Trilingual,English,644,21,M,18,58,16,26,German,Mother,Mother,1,59,22,81,69,12,0.296296296
1117,S19,Bilingual,French,924,30,M,13,26,74,0,NA,Father,Father,1,93,320,413,339,74,0.358353511
1118,S193,Bilingual,French,639,21,M,12,31.93,68.07,0,NA,Father,Father,1,14,48,62,50,12,0.387096774
1118,S194,Bilingual,French,924,30,M,18,30,70,0,NA,Mother,Mother,2,30,204,234,209,25,0.213675214
1119,S97,Bilingual,English,644,21,M,16,64,36,0,NA,Mother,Mother,1,36,51,87,63,24,0.551724138
1120,S98,Bilingual,English,1004,33,F,16,66,34,0,NA,Mother,Mother,1,582,463,1045,636,409,0.78277512
1121,S211,Bilingual,English,1000,32,F,21,62.75,37.25,0,NA,Mother,Mother,1,406,224,630,456,174,0.552380952
1122,S212,Bilingual,English,601,19,F,21,66,34,0,NA,Father,Father,1,191,73,264,212,52,0.393939394
1123,S20,Bilingual,French,984,32,F,13,48,52,0,NA,Father,Mother,1,160,21,181,161,20,0.220994475
1124,S137,Trilingual,French,620,20,F,16,19,47,34,German,Father,Father,1,9,40,49,44,5,0.204081633
1125,S138,Trilingual,English,637,20,F,15,52,32,16,Arabic,Mother,Mother,1,492,192,684,513,171,0.5
